name,piste:difficulty,piste:type,geometry,ski_hill
Death Valley,expert,downhill,"LINESTRING (-114.955269 50.020665, -114.955267 50.020621, -114.955171 50.020552, -114.955133 50.020497, -114.954988 50.020518, -114.954865 50.020569, -114.954736 50.020576, -114.954597 50.020642, -114.954436 50.020718, -114.954168 50.020762, -114.954001 50.020793, -114.953803 50.020831, -114.953551 50.0208, -114.953433 50.020721, -114.953427 50.020621, -114.953411 50.0205, -114.953283 50.020435, -114.9531 50.020442, -114.952961 50.020504, -114.952816 50.020556, -114.952746 50.02058, -114.952725 50.020494, -114.952671 50.02039, -114.952564 50.020349, -114.952381 50.020339, -114.952199 50.020335, -114.95199 50.020304, -114.951818 50.020269, -114.951669 50.020213)",
Moose Meadows,easy,downhill,"LINESTRING (-114.947972 50.020248, -114.947848 50.020204, -114.947376 50.020121, -114.94699 50.020087, -114.946572 50.020142, -114.946089 50.020225, -114.94581 50.02028)",
Sunshine,intermediate,downhill,"LINESTRING (-114.953725 50.021378, -114.953422 50.021211, -114.953036 50.021031, -114.952451 50.020856, -114.951925 50.020766, -114.951459 50.020742, -114.951239 50.020746, -114.950944 50.020804, -114.950692 50.020955, -114.950472 50.0211, -114.950075 50.021104, -114.949651 50.021062, -114.949141 50.021062, -114.948787 50.021024, -114.948347 50.020921, -114.948074 50.020797, -114.947768 50.020597, -114.947575 50.020397, -114.947451 50.020269)",
Striker,intermediate,downhill,"LINESTRING (-114.955456 50.020729, -114.955568 50.020676, -114.955601 50.020643, -114.95568 50.020566, -114.955713 50.020404, -114.95567 50.020287, -114.955589 50.020183, -114.955412 50.020108, -114.955101 50.020004, -114.954581 50.019977, -114.954168 50.01999, -114.953728 50.019994, -114.953406 50.01999, -114.953014 50.019956, -114.952601 50.019883, -114.952108 50.019808, -114.951651 50.019713)",
Rollercoaster,easy,downhill,"LINESTRING (-114.954951 50.022824, -114.954786 50.022985, -114.954415 50.023251, -114.953857 50.023568, -114.953364 50.023651, -114.952892 50.023899, -114.952325 50.024213)",
Waterfall,easy,downhill,"LINESTRING (-114.950375 50.02273, -114.95016 50.022634, -114.949785 50.022438, -114.949366 50.022186, -114.948959 50.021859, -114.948671 50.021697, -114.948331 50.021497)",
Waterfall,easy,downhill,"LINESTRING (-114.948331 50.021497, -114.947264 50.021055, -114.946411 50.020694, -114.94618 50.020614, -114.945489 50.020363, -114.945155 50.020242, -114.944222 50.01999, -114.943637 50.019832, -114.942956 50.019701, -114.942575 50.019663, -114.942103 50.019742, -114.94154 50.01987, -114.940869 50.020056, -114.940488 50.020225, -114.940193 50.020456, -114.939748 50.020759, -114.939496 50.020914, -114.939373 50.021066, -114.939206 50.021159, -114.939196 50.021228)",
Waterfall,advanced,downhill,"LINESTRING (-114.955057 50.022303, -114.95494 50.022265, -114.954581 50.022134, -114.954318 50.022048, -114.954071 50.022024, -114.953545 50.022048, -114.952998 50.022014, -114.952338 50.021907, -114.952028 50.021834)",
Tucks,intermediate,downhill,"LINESTRING (-114.951274 50.025141, -114.951153 50.025098, -114.950059 50.024837, -114.948986 50.024892, -114.948611 50.024887, -114.947892 50.024878, -114.946669 50.024699)",
Mortimer,intermediate,downhill,"LINESTRING (-114.952325 50.024213, -114.952095 50.024198, -114.951629 50.024147, -114.950703 50.024092, -114.949394 50.023982, -114.9491 50.023966, -114.948079 50.02388, -114.946733 50.023665)",
Tucks,easy,downhill,"LINESTRING (-114.946669 50.024699, -114.946325 50.024598, -114.945725 50.024423, -114.944866 50.024175, -114.944716 50.024106, -114.944523 50.023913, -114.944287 50.023692)",
Main,easy,downhill,"LINESTRING (-114.950375 50.02273, -114.948465 50.022551, -114.946652 50.022234, -114.945041 50.022001, -114.94279 50.021787, -114.942239 50.021735)",
In's And Out's,easy,downhill,"LINESTRING (-114.950248 50.023403, -114.949936 50.023489, -114.949704 50.023637, -114.949393 50.023816, -114.9491 50.023966)",
JCL Gully,advanced,downhill,"LINESTRING (-114.946727 50.024234, -114.946668 50.024257, -114.946545 50.024326, -114.946459 50.024405, -114.946411 50.024468, -114.946373 50.024526, -114.946325 50.024598)",
JCL Gully,advanced,downhill,"LINESTRING (-114.948611 50.024887, -114.948492 50.024822, -114.948331 50.024726, -114.94816 50.024643, -114.947945 50.02463, -114.947725 50.024605, -114.947526 50.024588, -114.947457 50.024509, -114.947414 50.024419, -114.94728 50.02434, -114.94714 50.024268, -114.946995 50.024243, -114.946727 50.024234, -114.946582 50.024209, -114.946464 50.02414, -114.946395 50.02404, -114.946443 50.02394, -114.946486 50.023861, -114.946523 50.023702, -114.9465 50.023616)",
Striker,easy,downhill,"LINESTRING (-114.948798 50.020197, -114.948245 50.020232, -114.947972 50.020248, -114.947661 50.020266, -114.947451 50.020269, -114.947071 50.020314, -114.946706 50.020411, -114.946373 50.020518, -114.94618 50.020614, -114.945799 50.020762, -114.945198 50.020986, -114.944721 50.021155, -114.944481 50.021205, -114.944174 50.021269, -114.943836 50.021372, -114.94353 50.021493, -114.943208 50.021614, -114.942935 50.021724, -114.94279 50.021787)",
Sunshine,advanced,downhill,"LINESTRING (-114.955287 50.021907, -114.955017 50.021818, -114.954669 50.021693, -114.954222 50.021533, -114.953725 50.021378)",
Moose Meadows,easy,downhill,"LINESTRING (-114.944481 50.021205, -114.944329 50.021149, -114.944061 50.021098)",
Lower Canyon,intermediate,downhill,"LINESTRING (-115.773225 51.103064, -115.774001 51.103239, -115.774462 51.103596, -115.774591 51.104189, -115.774419 51.104755, -115.774752 51.105065, -115.774752 51.105597, -115.774698 51.105974, -115.77487 51.106432, -115.774902 51.106783, -115.775127 51.107328, -115.775031 51.108002, -115.775224 51.108386, -115.775374 51.108803, -115.775567 51.109295, -115.775428 51.109659, -115.775063 51.110144, -115.774827 51.110326, -115.774677 51.110386, -115.774655 51.110588)",sunshine
Ridgeview,advanced,downhill,"LINESTRING (-121.950888 49.381413, -121.95048 49.38172, -121.950194 49.381892, -121.949706 49.382134, -121.949541 49.382253, -121.949224 49.382553, -121.948706 49.382897, -121.948454 49.383107, -121.948299 49.383208, -121.948136 49.383304, -121.947311 49.383751)",
Ridgeline,easy,downhill,"LINESTRING (-121.950888 49.381413, -121.951013 49.381248, -121.951204 49.381022, -121.951217 49.38089, -121.951411 49.380642, -121.951673 49.380349, -121.951766 49.380203, -121.951807 49.380066, -121.95184 49.379764, -121.951749 49.379354, -121.951606 49.379014, -121.951579 49.378869, -121.951665 49.378505, -121.951663 49.378221, -121.951421 49.377999, -121.95112 49.377848, -121.950828 49.377702, -121.950537 49.377563, -121.949729 49.37726, -121.949394 49.377201, -121.948649 49.376994, -121.948535 49.37698, -121.948436 49.376999, -121.948407 49.377033)",
25 North,intermediate,downhill,"LINESTRING (-119.044515 50.380382, -119.04432 50.381548, -119.044373 50.381976, -119.043965 50.382616)",silverStar
Robson Street,intermediate,downhill,"LINESTRING (-119.054755 50.376552, -119.054621 50.377169, -119.05485 50.377461, -119.055491 50.377601, -119.055834 50.377902, -119.056012 50.378538, -119.056166 50.379085, -119.05608 50.379505, -119.056509 50.380161, -119.056938 50.381092, -119.057568 50.381767, -119.057367 50.382624, -119.057851 50.383239, -119.058083 50.383737, -119.058366 50.384224, -119.058535 50.384741)",silverStar
Critical Path,intermediate,downhill,"LINESTRING (-118.142627 50.957861, -118.144892 50.957619, -118.147176 50.956621, -118.147562 50.95581)",revelstoke
Sunshine,easy,downhill,"LINESTRING (-118.138288 50.953796, -118.138031 50.953466, -118.137832 50.951966, -118.138041 50.951648, -118.138846 50.950241, -118.139436 50.94963, -118.140607 50.949309, -118.143614 50.949756, -118.145331 50.950594, -118.145656 50.950809, -118.146274 50.951176, -118.146704 50.951431, -118.148063 50.953042, -118.148934 50.953612, -118.149957 50.954239)",revelstoke
Lightning Rod,intermediate,downhill,"LINESTRING (-118.14171 50.95726, -118.14367 50.956192, -118.147562 50.95581, -118.149346 50.955012)",revelstoke
Snow Rodeo (Lower),intermediate,downhill,"LINESTRING (-118.153878 50.954194, -118.157218 50.954206)",revelstoke
Snow Rodeo,intermediate,downhill,"LINESTRING (-118.123302 50.955329, -118.124891 50.954655, -118.125661 50.954232, -118.126602 50.953436, -118.127571 50.952932, -118.128529 50.952648, -118.12887 50.952551, -118.131239 50.95252, -118.132573 50.952445, -118.133589 50.952425, -118.134867 50.952434, -118.135415 50.952208, -118.136299 50.951952, -118.13724 50.951916, -118.137832 50.951966, -118.138335 50.951918, -118.142063 50.952247, -118.142284 50.952269, -118.14679 50.952864, -118.148063 50.953042)",revelstoke
Wooley Bully,intermediate,downhill,"LINESTRING (-118.127774 50.955312, -118.12779 50.954632, -118.127812 50.954222, -118.128128 50.953802, -118.128942 50.953661, -118.129686 50.953583, -118.130129 50.953546, -118.131091 50.953227, -118.1318 50.953178, -118.13312 50.95328, -118.134798 50.953121, -118.136195 50.953196, -118.138031 50.953466, -118.138541 50.953399, -118.142063 50.952247)",revelstoke
Cannonball,advanced,downhill,"LINESTRING (-118.125315 50.954848, -118.12779 50.954632, -118.13752 50.953783, -118.138288 50.953796, -118.140519 50.954063, -118.145285 50.954126, -118.147262 50.95427)",revelstoke
Feller Buncher,easy,downhill,"LINESTRING (-118.126389 50.955319, -118.127521 50.955265, -118.127774 50.955312, -118.128384 50.955424, -118.129472 50.955789, -118.130054 50.955807, -118.13053 50.955638, -118.130642 50.955421)",revelstoke
Follow Me,intermediate,downhill,"LINESTRING (-118.153395 50.954214, -118.153781 50.954903, -118.154727 50.955498, -118.15787 50.955134)",revelstoke
Short Shot,advanced,downhill,"LINESTRING (-118.138041 50.951648, -118.140181 50.951162, -118.142498 50.950675, -118.144118 50.950786, -118.145656 50.950809)",revelstoke
Locomotion,intermediate,downhill,"LINESTRING (-118.151123 50.955148, -118.15165 50.956133, -118.151836 50.95625, -118.152144 50.956277, -118.153388 50.956112, -118.155246 50.95626, -118.155844 50.956234, -118.158531 50.955728)",revelstoke
The Last Spike (Lower),easy,downhill,"LINESTRING (-118.150981 50.9537, -118.151175 50.954105, -118.151293 50.954501, -118.151123 50.955148, -118.151636 50.954614, -118.15189 50.954125, -118.151896 50.953561, -118.151914 50.953103, -118.151985 50.953015, -118.152173 50.952971, -118.152504 50.952997, -118.152901 50.953389, -118.153395 50.954214, -118.15365 50.954267, -118.153878 50.954194, -118.153929 50.953797, -118.153972 50.952573, -118.154004 50.95189, -118.154014 50.951258, -118.154196 50.950849, -118.154303 50.950758, -118.154512 50.950774, -118.15484 50.950869, -118.155194 50.95122, -118.155865 50.952006, -118.157218 50.954206, -118.15787 50.955134, -118.158531 50.955728, -118.159939 50.956617, -118.160491 50.957018, -118.160817 50.957509, -118.160932 50.958115, -118.161384 50.958498, -118.162339 50.958784, -118.1634 50.958839)",revelstoke
SWF,advanced,downhill,"LINESTRING (-118.102413 50.962858, -118.109414 50.963109, -118.109707 50.96312, -118.112227 50.963366, -118.113382 50.963425, -118.114482 50.963482, -118.115842 50.963552, -118.121052 50.96387, -118.125419 50.964268, -118.127574 50.964401)",revelstoke
The Last Spike,easy,downhill,"LINESTRING (-118.126718 50.969669, -118.126599 50.969447)",revelstoke
Porcupine,advanced,downhill,"LINESTRING (-117.069412 51.289835, -117.066172 51.290667, -117.064761 51.291131, -117.063946 51.291628, -117.063211 51.292089, -117.062272 51.292809, -117.061478 51.293345, -117.060335 51.293713, -117.059633 51.294271, -117.058989 51.294754, -117.058747 51.295216, -117.058517 51.295586, -117.058061 51.295847, -117.057417 51.296128, -117.056838 51.296343, -117.056285 51.296525, -117.056071 51.296713, -117.05555 51.296987, -117.055314 51.297322, -117.054928 51.297966, -117.054901 51.298044)",kickinghorse
Race Place,advanced,downhill,"LINESTRING (-117.07056 51.293023, -117.069315 51.293023, -117.068768 51.292989, -117.0681 51.293198, -117.067402 51.29352, -117.066576 51.293882, -117.065439 51.294426, -117.06487 51.295224, -117.064219 51.295646, -117.063497 51.296572, -117.063218 51.297283, -117.062435 51.298035, -117.062159 51.298624, -117.061547 51.299235, -117.061094 51.299705, -117.060947 51.300013, -117.060546 51.300128, -117.060128 51.300222, -117.059724 51.300248, -117.059195 51.300175, -117.05868 51.3, -117.058175 51.299712, -117.057746 51.299417, -117.057328 51.299068, -117.05692 51.298699, -117.056341 51.298437, -117.055651 51.298051)",kickinghorse
Chilcotin,intermediate,downhill,"LINESTRING (-121.254554 51.904908, -121.254303 51.90589, -121.254046 51.906393, -121.252715 51.909676, -121.25234 51.910467, -121.252115 51.914044, -121.25214 51.914282, -121.252442 51.914772)",
Sneaky Pete,intermediate,downhill,"LINESTRING (-121.668767 48.859518, -121.667721 48.859707, -121.665618 48.859746, -121.665012 48.859809, -121.664298 48.860032, -121.663724 48.860494, -121.663365 48.860928, -121.663161 48.861016, -121.662845 48.861137)",
Big Creek,easy,downhill,"LINESTRING (-121.669204 48.859337, -121.668903 48.859432, -121.668767 48.859518, -121.668252 48.859975, -121.666149 48.861249, -121.665494 48.861637, -121.664781 48.862008, -121.664602 48.862069, -121.664403 48.862092, -121.664202 48.862075, -121.664019 48.86202, -121.663869 48.86193, -121.663451 48.861528, -121.662845 48.861137)",
Border,intermediate,downhill,"LINESTRING (-121.669204 48.859337, -121.669512 48.859778, -121.67051 48.860071, -121.671728 48.860395, -121.672575 48.860375)",
Canuck's Deluxe,advanced,downhill,"LINESTRING (-121.675483 48.854424, -121.673766 48.854897, -121.672071 48.855214, -121.669968 48.855673, -121.669288 48.855822, -121.667941 48.856015)",
Cat Track,intermediate,downhill,"LINESTRING (-121.662845 48.861137, -121.662769 48.861105, -121.662491 48.860886, -121.662351 48.860618, -121.662442 48.860145, -121.663134 48.858281, -121.66322 48.858002, -121.663435 48.857251, -121.663574 48.856601, -121.663547 48.856449, -121.66339 48.856341, -121.663207 48.85631, -121.662198 48.85622, -121.661774 48.856218, -121.661246 48.856188, -121.660736 48.856299, -121.660656 48.856379, -121.66024 48.856809, -121.660007 48.857171, -121.659854 48.857568)",
Razerhone Canyon,expert,downhill,"LINESTRING (-121.677559 48.852479, -121.677521 48.852212, -121.677532 48.852059, -121.677592 48.851856, -121.677631 48.851547, -121.677653 48.851178, -121.677652 48.850814, -121.677624 48.850631, -121.677618 48.85059, -121.677436 48.850061, -121.675837 48.849898, -121.672479 48.851028, -121.671425 48.851688, -121.671068 48.851931, -121.669357 48.852983, -121.666922 48.854064, -121.665559 48.854925, -121.664851 48.855383, -121.664722 48.855451, -121.664006 48.85586, -121.663569 48.856241, -121.66339 48.856341)",
Honkers,advanced,downhill,"LINESTRING (-121.66322 48.858002, -121.661423 48.85759)",
North Face,advanced,downhill,"LINESTRING (-121.67546 48.854436, -121.672905 48.855956, -121.672468 48.856217, -121.672001 48.856735, -121.671481 48.856968, -121.671089 48.857011, -121.670253 48.85707, -121.670274 48.857674, -121.67066 48.858002, -121.67183 48.858443, -121.672763 48.859135, -121.673225 48.859746, -121.673396 48.860088, -121.673351 48.860253)",
Pan Face,advanced,downhill,"LINESTRING (-121.676604 48.853488, -121.676733 48.853597, -121.676824 48.853746, -121.677291 48.854762, -121.677538 48.855246, -121.6779 48.855908, -121.678251 48.856114, -121.678868 48.856227, -121.679426 48.856241, -121.679721 48.856167, -121.679866 48.855998, -121.680134 48.855934, -121.680611 48.855973, -121.681175 48.855532, -121.681577 48.855645)",
Sticky Wicket,advanced,downhill,"LINESTRING (-121.673762 48.854899, -121.673233 48.854772, -121.672651 48.854656, -121.671224 48.854607, -121.669518 48.854325, -121.668402 48.854176, -121.667147 48.854543, -121.665591 48.855158, -121.66525 48.855458)",
,advanced,downhill,"LINESTRING (-121.670247 48.85707, -121.669024 48.857349, -121.668842 48.857469, -121.668826 48.857695, -121.668879 48.857999, -121.669325 48.859167)",
Blueberry,intermediate,downhill,"LINESTRING (-121.677559 48.852479, -121.677929 48.852103, -121.678122 48.851684, -121.67824 48.851474, -121.678455 48.851268, -121.678932 48.851296, -121.679447 48.851527, -121.680123 48.851769, -121.681014 48.852076, -121.681507 48.852191, -121.681848 48.852406, -121.682242 48.85227, -121.682795 48.852122, -121.683331 48.852087, -121.684068 48.852344, -121.684166 48.852597, -121.684376 48.85314, -121.683995 48.853742, -121.683878 48.853926, -121.683288 48.854588)",
Austin,intermediate,downhill,"LINESTRING (-121.681848 48.852406, -121.682086 48.85274, -121.682752 48.853241, -121.683025 48.853569, -121.683331 48.854042, -121.683251 48.854467, -121.682135 48.855045, -121.681577 48.855645, -121.68132 48.856351, -121.680856 48.856792, -121.680534 48.857102, -121.680172 48.857453, -121.679732 48.85796, -121.67919 48.858267, -121.6789 48.858341, -121.678653 48.858398)",
,expert,downhill,"LINESTRING (-121.677618 48.85059, -121.676116 48.850463, -121.674475 48.850746, -121.672479 48.851028)",
Cook's Tour,intermediate,downhill,"LINESTRING (-121.669512 48.859778, -121.669507 48.860247, -121.669711 48.860554, -121.670684 48.86069, -121.671449 48.860584, -121.671875 48.860545)",
C-3 Lift Line,advanced,downhill,"LINESTRING (-121.669204 48.859337, -121.670237 48.859548, -121.670988 48.859749, -121.672087 48.86, -121.672624 48.860155, -121.673351 48.860253)",
7 Hills,novice,downhill,"LINESTRING (-121.681577 48.857889, -121.681121 48.858497, -121.680188 48.859298, -121.679399 48.860035, -121.678235 48.860826, -121.677602 48.861133, -121.676653 48.861323, -121.675966 48.861274, -121.675242 48.861024, -121.674072 48.860519)",
Gold Mine,advanced,downhill,"LINESTRING (-121.669288 48.855822, -121.668767 48.856382, -121.668064 48.856919, -121.667544 48.857233, -121.667533 48.857529, -121.667694 48.857956, -121.66741 48.858468, -121.666948 48.858613, -121.665832 48.858479, -121.66322 48.858002)",
Entrance,expert,downhill,"LINESTRING (-121.677631 48.851547, -121.676417 48.851303, -121.674442 48.851169, -121.672801 48.85143, -121.671425 48.851688)",
The Chute,expert,downhill,"LINESTRING (-121.677538 48.855246, -121.6775 48.855652, -121.677631 48.856498, -121.67764 48.856555, -121.677854 48.857177, -121.678072 48.857505, -121.678584 48.858278)",
Heather,novice,downhill,"LINESTRING (-121.681454 48.857837, -121.680804 48.858165, -121.6803 48.858539, -121.679485 48.859209, -121.678498 48.859965, -121.677785 48.860392, -121.676996 48.860667, -121.675934 48.860801, -121.675258 48.860776, -121.674061 48.860476)",
Mitzi's Mother,easy,downhill,"LINESTRING (-121.669204 48.859337, -121.668944 48.860039, -121.668762 48.86108, -121.668807 48.861215, -121.668911 48.861334, -121.669064 48.861429, -121.669252 48.861489, -121.669706 48.861516, -121.670156 48.861469, -121.670575 48.861352, -121.671132 48.861038, -121.671875 48.860545, -121.672575 48.860375, -121.673351 48.860253)",
Packhorse Climb,easy,downhill,"LINESTRING (-119.866581 50.865305, -119.866462 50.865448, -119.866333 50.865782, -119.866214 50.866, -119.866192 50.86632, -119.86643 50.866852, -119.866504 50.867302, -119.866481 50.867641, -119.866624 50.868004, -119.866938 50.868202, -119.867488 50.868638, -119.867899 50.868972, -119.868007 50.86917, -119.868274 50.869594, -119.86846 50.869981, -119.868688 50.870147, -119.868829 50.870264, -119.868943 50.870465, -119.868959 50.870598, -119.868977 50.870969, -119.868944 50.871234, -119.868892 50.871603, -119.868836 50.871928, -119.868752 50.872124, -119.868623 50.872316, -119.868471 50.872502, -119.868352 50.872702, -119.868305 50.872865, -119.868294 50.873068, -119.868312 50.87326, -119.868291 50.873405, -119.868217 50.873621, -119.868128 50.873808, -119.868092 50.873921, -119.868075 50.874106)",sunPeaks
Jelly Roll,advanced,downhill,"LINESTRING (-114.421986 49.315387, -114.420742 49.315709, -114.419175 49.316282)",
Huckleberry Ridge,advanced,downhill,"LINESTRING (-114.435075 49.312345, -114.433132 49.313176, -114.432315 49.313526, -114.431603 49.313592, -114.431406 49.313611, -114.429289 49.313942)",
Huckleberry Bowl,advanced,downhill,"LINESTRING (-114.438272 49.311191, -114.437457 49.311324, -114.436624 49.311615, -114.436159 49.311778, -114.435075 49.312345)",
Tamarack Bowl,advanced,downhill,"LINESTRING (-114.435075 49.312345, -114.435209 49.312981, -114.434888 49.313765, -114.433532 49.314592, -114.433321 49.3148)",
The Burn,advanced,downhill,"LINESTRING (-114.429289 49.313942, -114.423789 49.31501)",
Whiskey Jack,intermediate,downhill,"LINESTRING (-114.419175 49.316282, -114.415318 49.317961, -114.415012 49.318114, -114.414868 49.318325, -114.415034 49.318562)",
Mouse Trap,advanced,downhill,"LINESTRING (-114.423789 49.31501, -114.421986 49.315387)",
Skyline Traverse,easy,downhill,"LINESTRING (-114.440611 49.312542, -114.439816 49.312058, -114.438852 49.31168, -114.438272 49.311191, -114.438029 49.310826, -114.437933 49.310682, -114.438002 49.310114, -114.438607 49.30916, -114.439092 49.308398, -114.4402 49.307108, -114.441574 49.305511, -114.442841 49.304507, -114.444016 49.303575, -114.444988 49.302805, -114.445954 49.302039, -114.446717 49.301435, -114.447143 49.30095)",
Tamarack,advanced,downhill,"LINESTRING (-114.440611 49.312542, -114.439816 49.312548, -114.438279 49.312753, -114.437226 49.313247, -114.435783 49.313737, -114.434496 49.314296, -114.433321 49.3148, -114.433168 49.315074, -114.432451 49.315471)",
05-Sep,advanced,downhill,"LINESTRING (-114.424801 49.315995, -114.423215 49.316238, -114.422121 49.316476, -114.421048 49.316728, -114.420891 49.317206, -114.421005 49.317847)",
Flap Jack,easy,downhill,"LINESTRING (-114.41807 49.319998, -114.417238 49.319926, -114.416767 49.319892, -114.416188 49.319731, -114.415762 49.319566, -114.415341 49.319177)",
Easy Street,intermediate,downhill,"LINESTRING (-114.430225 49.316325, -114.43003 49.31682, -114.429747 49.31727, -114.429339 49.317276, -114.42808 49.316856, -114.426799 49.316965, -114.425888 49.316726, -114.424801 49.315995, -114.423789 49.31501, -114.423488 49.314702, -114.422584 49.313619, -114.422296 49.314332, -114.422146 49.314754, -114.421973 49.315145, -114.42179 49.315187, -114.421606 49.315161, -114.421221 49.314802, -114.420832 49.314439, -114.42014 49.313793)",
Dusk,advanced,downhill,"LINESTRING (-114.418495 49.315762, -114.418317 49.316101, -114.41763 49.316437, -114.416793 49.316758, -114.416048 49.316951)",
Rabbit Flats,easy,downhill,"LINESTRING (-114.41807 49.319998, -114.418274 49.320194, -114.418176 49.320384, -114.417973 49.320482, -114.417726 49.320587, -114.41752 49.320656, -114.417262 49.320655, -114.416937 49.320477, -114.416579 49.32019, -114.41639 49.320057, -114.416165 49.319934, -114.415855 49.319714, -114.415596 49.319545, -114.415425 49.319405, -114.415021 49.318852)",
Twilight,intermediate,downhill,"LINESTRING (-114.418553 49.314646, -114.417887 49.314674, -114.417372 49.314856, -114.416965 49.314842, -114.416214 49.31487, -114.415791 49.315007, -114.41534 49.315189, -114.41476 49.315776)",
Outrigger,advanced,downhill,"LINESTRING (-114.422146 49.314754, -114.421221 49.314802, -114.418397 49.315046)",
Sun Down,intermediate,downhill,"LINESTRING (-114.422584 49.313619, -114.42014 49.313793, -114.419439 49.314042, -114.418645 49.314434, -114.418553 49.314646, -114.418397 49.315046, -114.418054 49.315381, -114.41696 49.315666, -114.416149 49.315709, -114.415484 49.315681, -114.41476 49.315776)",
Sun Up,advanced,downhill,"LINESTRING (-114.422296 49.314332, -114.420832 49.314439, -114.418553 49.314646)",
Dawn,intermediate,downhill,"LINESTRING (-114.418397 49.315046, -114.418593 49.3155, -114.418495 49.315762, -114.41813 49.315846, -114.417394 49.316003, -114.416885 49.316126, -114.416342 49.316297, -114.41607 49.316602, -114.416048 49.316951, -114.416063 49.317276, -114.415806 49.31757, -114.415018 49.317931)",
Centre,intermediate,downhill,"LINESTRING (-114.426799 49.316965, -114.424438 49.317385, -114.42235 49.31771, -114.421005 49.317847, -114.417486 49.318434, -114.416106 49.318772, -114.415662 49.318798)",
Jackalope,easy,downhill,"LINESTRING (-114.41807 49.319998, -114.417827 49.319698, -114.41749 49.319434, -114.417051 49.319323, -114.416712 49.319353, -114.416435 49.319315, -114.416156 49.319298, -114.415746 49.319178, -114.415341 49.319177)",
Dusk,advanced,downhill,"LINESTRING (-114.419175 49.316282, -114.418317 49.316101)",
Easy Ramp,easy,downhill,"LINESTRING (-114.439816 49.312058, -114.439816 49.312548, -114.439837 49.313149, -114.439952 49.313664, -114.440081 49.31393)",
Cinch Fork,easy,downhill,"LINESTRING (-114.429539 49.304294, -114.428877 49.304142, -114.428112 49.304054, -114.427239 49.304167, -114.426112 49.304683, -114.424522 49.305041, -114.423319 49.30549, -114.422385 49.306095, -114.421537 49.306818, -114.420698 49.308127, -114.419873 49.309798)",
Buffalo Flats,easy,downhill,"LINESTRING (-114.418828 49.30517, -114.41896 49.305777, -114.419025 49.306826, -114.419095 49.307411, -114.419589 49.308278, -114.419931 49.308999, -114.419873 49.309798, -114.419475 49.310561, -114.419075 49.311005, -114.418813 49.311312, -114.418586 49.311623, -114.418359 49.311932, -114.418022 49.312264, -114.417614 49.312607, -114.417192 49.312828, -114.416602 49.312938, -114.415812 49.313105, -114.415035 49.313715, -114.414611 49.313974, -114.414184 49.314283)",
100 last Turns,advanced,downhill,"LINESTRING (-114.430955 49.327331, -114.429968 49.327094, -114.428552 49.326912, -114.426983 49.326732, -114.42538 49.326621, -114.42408 49.3265, -114.42381 49.325975, -114.423873 49.32535)",
Weasel,advanced,downhill,"LINESTRING (-114.423623 49.322183, -114.422801 49.322367, -114.422069 49.322408, -114.420999 49.322073, -114.420162 49.321779, -114.419605 49.321666)",
Lynx,advanced,downhill,"LINESTRING (-114.423673 49.323042, -114.422636 49.323092, -114.421363 49.323066, -114.420462 49.323024)",
Skyline Traverse,easy,downhill,"LINESTRING (-114.440081 49.31393, -114.439995 49.314392, -114.440181 49.31487, -114.440381 49.315315, -114.440374 49.316045, -114.440031 49.316912, -114.439451 49.318017, -114.439237 49.319178, -114.439115 49.319973, -114.43903 49.320197, -114.438386 49.320563, -114.43742 49.321232, -114.436985 49.321499, -114.436919 49.321806, -114.436862 49.322071, -114.436991 49.322854, -114.436304 49.323385, -114.434931 49.323903, -114.434688 49.324082, -114.433472 49.324982, -114.432886 49.325415, -114.43204 49.326231, -114.431627 49.32663, -114.430955 49.327331)",
Clinch Traverse,easy,downhill,"LINESTRING (-114.441786 49.299249, -114.441298 49.299614, -114.440732 49.299954, -114.43983 49.300542, -114.439595 49.300607, -114.438928 49.300903, -114.437186 49.301474, -114.435034 49.302357, -114.432376 49.303403, -114.431641 49.303692, -114.429824 49.304212, -114.429539 49.304294, -114.429056 49.304728, -114.428916 49.304853, -114.428481 49.305072, -114.427887 49.305371, -114.42766 49.30551, -114.427412 49.305662, -114.427157 49.305819, -114.426749 49.305973, -114.426256 49.306266, -114.425934 49.306378, -114.425895 49.306395, -114.425312 49.306672, -114.424843 49.30722, -114.424797 49.307274, -114.424239 49.307764, -114.423767 49.308743, -114.423464 49.309108, -114.423209 49.309414, -114.423069 49.309781, -114.422994 49.309876, -114.422715 49.310016, -114.422697 49.310109, -114.422672 49.31024, -114.422758 49.310505, -114.422801 49.310813, -114.422675 49.310995, -114.422415 49.311373, -114.422222 49.311821, -114.421342 49.312114, -114.421013 49.312436, -114.420913 49.312534, -114.420873 49.312731, -114.420849 49.312856, -114.420355 49.313135, -114.419883 49.313597, -114.419439 49.314042)",
Easy Way,easy,downhill,"LINESTRING (-114.425419 49.322408, -114.425068 49.322482, -114.424644 49.322452, -114.424245 49.32222, -114.424102 49.321793, -114.423996 49.321732, -114.423914 49.321781, -114.423623 49.322183, -114.423574 49.322674, -114.423673 49.323042, -114.423702 49.32315, -114.424003 49.323457, -114.424236 49.323698, -114.424272 49.324312, -114.424239 49.324842, -114.424184 49.325332)",
Tumbleweed,easy,downhill,"LINESTRING (-114.418828 49.30517, -114.418751 49.3057, -114.418558 49.306109, -114.418438 49.307218, -114.41837 49.308455, -114.418188 49.310114, -114.417738 49.311346, -114.416671 49.312178, -114.415812 49.313105)",
